Vendor,Item,Qty,Unit,Delivered,Owner
Hanbit Trading Co.,A4 paper,10,25000,2026-08-03,Kim
Hanbit Trading,A4 paper,5,25000,2026-08-05,Kim
Green Mart,A4paper,8,"25,000",8/4,Lee
Daesung Planning,Toner,1,89000,2026-08-06,Park
Daesung Planning,Toner,1,89000,2026-08-06,Park
Namsan Industries,Clear folder,15,800,,Choi
Namsan Industries,A4 paper,-3,25000,2026-08-07,Choi
Mirae Printing,Stapler,3,450000,2026-08-08,Jung
Hanbit Trading Co.,Highlighter,20,1200,2026-08-04,Kim
Green Mart,Toner,2,89000,2026.8.5,Lee
