Order,Customer,Item,Qty,Amount,Date
SO-1000,CUST-100,ITEM-10,1,12000,2026-01-01
SO-1001,CUST-101,ITEM-11,2,24000,2026-02-02
SO-1002,CUST-102,ITEM-12,3,36000,2026-03-03
SO-1003,CUST-103,ITEM-13,4,48000,2026-04-04
SO-1004,CUST-104,ITEM-14,1,12000,2026-05-05
SO-1005,CUST-105,ITEM-10,2,24000,2026-06-06
SO-1006,CUST-106,ITEM-11,3,36000,2026-01-07
SO-1007,CUST-100,ITEM-12,4,48000,2026-02-08
SO-1008,CUST-101,ITEM-13,1,12000,2026-03-09
SO-1009,CUST-102,ITEM-14,2,24000,2026-04-10
SO-1010,CUST-103,ITEM-10,3,36000,2026-05-11
SO-1011,CUST-104,ITEM-11,4,48000,2026-06-12
SO-1012,CUST-105,ITEM-12,1,12000,2026-01-13
SO-1013,CUST-106,ITEM-13,2,24000,2026-02-14
SO-1014,CUST-100,ITEM-14,3,36000,2026-03-15
SO-1015,CUST-101,ITEM-10,4,48000,2026-04-16
SO-1016,CUST-102,ITEM-11,1,12000,2026-05-17
SO-1017,CUST-103,ITEM-12,2,24000,2026-06-18
SO-1018,CUST-104,ITEM-13,3,36000,2026-01-19
SO-1019,CUST-105,ITEM-14,4,48000,2026-02-20
SO-1020,CUST-106,ITEM-10,1,12000,2026-03-21
SO-1021,CUST-100,ITEM-11,2,24000,2026-04-22
SO-1022,CUST-101,ITEM-12,3,36000,2026-05-23
SO-1023,CUST-102,ITEM-13,4,48000,2026-06-24
